FrameNumber,PeopleCount,FrameTimePosition,Gender,EmotionsType1,EmotionsConfidence1,EmotionsType2,EmotionsConfidence2,EmotionsType3,EmotionsConfidence3,AgeRangeHigh,AgeRangelow
56,1,0:00:56,Female,54.09557343,CONFUSED,21.43608856,SAD,4.757071495,CONFUSED,43,26
57,1,0:00:57,Female,67.13557434,CONFUSED,14.62273598,SAD,4.516154289,CONFUSED,43,26
58,1,0:00:58,Female,57.50185394,CONFUSED,29.42134094,SAD,3.27616334,CONFUSED,43,26
59,1,0:00:59,Female,56.87439346,CONFUSED,27.83238983,SAD,5.531006813,CONFUSED,43,26
60,1,0:01:00,Female,63.49261856,CONFUSED,14.83926201,SAD,5.725932121,CONFUSED,43,26
11,2,0:00:11,Male,68.08154297,CALM,34.10180664,ANGRY,20.90742493,SAD,25,14
12,2,0:00:12,Male,98.46894836,CALM,7.664245605,CALM,1.519328356,SAD,43,26
13,2,0:00:13,Male,97.59535217,CALM,3.425216675,CALM,1.926714182,SAD,43,26
14,2,0:00:14,Male,91.30773926,CALM,5.184322357,CALM,4.17650938,SAD,52,35
15,2,0:00:15,Male,98.56072235,CALM,3.72081995,CALM,0.651961565,SAD,43,26
16,2,0:00:16,Male,98.91320038,CALM,5.826842785,CALM,2.005130053,SAD,43,26
17,2,0:00:17,Male,96.15206909,CONFUSED,2.98486352,CALM,1.528084278,SAD,45,29
18,2,0:00:18,Male,95.04549408,CONFUSED,6.401085854,CALM,0.732547045,CONFUSED,44,27
19,2,0:00:19,Male,96.79686737,CONFUSED,4.797559738,CALM,0.657862425,SAD,44,26
20,2,0:00:20,Male,96.72059631,CONFUSED,4.300302505,CALM,2.256780863,SAD,44,27
21,2,0:00:21,Male,79.2332077,CONFUSED,8.629655838,ANGRY,3.715479374,SAD,38,20
22,2,0:00:22,Male,76.48712158,CONFUSED,4.664480686,CALM,1.213300228,SAD,43,26
23,2,0:00:23,Male,46.97042847,CONFUSED,24.56098747,ANGRY,12.10985756,SAD,27,17
24,2,0:00:24,Male,82.58409882,CONFUSED,13.85247707,CALM,2.336114645,SAD,44,27
25,2,0:00:25,Male,65.08390045,CONFUSED,9.468126297,SAD,1.835888624,CONFUSED,38,20
26,2,0:00:26,Male,30.14593124,HAPPY,27.87227631,SAD,8.420181274,CALM,38,23
27,2,0:00:27,Male,47.59255219,HAPPY,13.44912624,CALM,10.44101143,SAD,38,20
28,2,0:00:28,Male,93.4122467,HAPPY,11.05811596,CALM,4.926508904,CONFUSED,47,30
29,2,0:00:29,Male,97.33042908,HAPPY,7.487356663,CALM,0.811851025,ANGRY,43,26
30,2,0:00:30,Male,96.12355042,HAPPY,2.271223068,CALM,1.325088739,SAD,47,30
31,2,0:00:31,Male,40.94188309,HAPPY,32.75956345,CALM,3.063374758,SAD,47,30
32,2,0:00:32,Male,56.47541809,HAPPY,16.10121155,CALM,7.949882507,SAD,52,35
33,2,0:00:33,Male,85.11286926,HAPPY,4.842763901,CALM,3.041231632,SAD,43,26
34,2,0:00:34,Male,94.373909,HAPPY,22.05662727,CALM,1.190292835,SAD,44,26
35,2,0:00:35,Male,99.0344696,SURPRISED,29.08795547,CALM,0.949114561,CONFUSED,52,35
36,2,0:00:36,Male,99.07810211,SURPRISED,11.75894737,CALM,1.365041733,SAD,43,26
37,2,0:00:37,Male,95.90357208,SURPRISED,7.336306572,CALM,0.98067522,CONFUSED,44,27
38,2,0:00:38,Male,93.55916595,SURPRISED,31.40314865,CALM,2.219575644,CONFUSED,52,35
39,2,0:00:39,Male,99.86677551,HAPPY,2.019238472,CALM,0.3867805,CONFUSED,52,35
40,2,0:00:40,Male,99.70993805,HAPPY,1.553928852,SAD,0.811898708,CALM,45,29
41,2,0:00:41,Male,99.5574646,ANGRY,1.494592428,SAD,1.237463951,DISGUSTED,52,35
42,2,0:00:42,Male,99.46883392,ANGRY,1.84918046,SAD,0.769460201,CALM,52,35
43,2,0:00:43,Male,84.52838135,HAPPY,14.05141926,CALM,4.591399193,CONFUSED,57,38
44,2,0:00:44,Male,91.69569397,HAPPY,23.7365303,CALM,3.604537249,CONFUSED,52,35
45,2,0:00:45,Male,85.50032043,SAD,14.66814232,CALM,1.379084587,CONFUSED,52,35
46,2,0:00:46,Male,71.70173645,SAD,21.95168686,CALM,3.832948208,CONFUSED,47,30
47,2,0:00:47,Male,67.76139069,SAD,15.76653099,CALM,3.553593159,SAD,52,35
48,2,0:00:48,Male,86.58336639,SAD,7.336032391,CALM,2.627205849,CONFUSED,52,35
49,2,0:00:49,Male,52.76697159,SAD,6.655406952,CALM,4.88653183,CONFUSED,52,35
50,2,0:00:50,Male,75.23996735,SAD,12.66343021,CALM,7.617950439,CONFUSED,47,30
51,2,0:00:51,Male,62.92993927,SAD,6.106030941,CALM,5.850291252,CONFUSED,52,35
52,2,0:00:52,Male,33.00441742,SAD,10.45725918,CALM,5.575198174,CONFUSED,47,30
53,2,0:00:53,Male,68.24908447,SAD,8.220404625,CALM,5.401241779,CONFUSED,52,35
54,2,0:00:54,Male,54.79366302,SAD,17.68733215,CALM,3.007411957,SAD,44,27
55,2,0:00:55,Male,40.08800507,CONFUSED,7.524394989,CONFUSED,6.803208351,CALM,52,35
56,2,0:00:56,Male,67.25987244,CONFUSED,15.39763832,CALM,5.280959606,SAD,47,30
